160,-30,0.266083,,70,-30,0,,340,-20,-0.11747
170,-30,0.400029,,80,-30,0,,350,-20,-0.03741
180,-30,0.047233,,90,-30,0,,360,-20,-0.0351
190,-30,0.204212,,100,-30,-0.11507,,370,-20,-0.09299
200,-30,0.483796,,110,-30,-0.18265,,380,-20,-0.16578
210,-30,0.25193,,120,-30,-0.34657,,390,-20,-0.18892
220,-30,0.442276,,130,-30,-0.35797,,400,-20,-0.25741
230,-30,0.51188,,140,-30,-0.36833,,410,-20,-0.40146
240,-30,0.898495,,150,-30,0.186982,,420,-20,-0.41462
250,-30,0.613418,,160,-30,0.266083,,430,-20,0
260,-30,0.252625,,170,-30,0.400029,,440,-20,0
270,-30,-0.11937,,180,-30,0.047233,,450,-20,0
280,-30,-0.33077,,190,-30,0.204212,,460,-20,0
290,-30,-0.48398,,200,-30,0.483796,,470,-20,0
300,-30,-0.35834,,210,-30,0.25193,,480,-20,0
310,-30,-0.24665,,220,-30,0.442276,,490,-20,0
320,-30,-0.1186,,230,-30,0.51188,,0,-30,0
330,-30,-0.15232,,240,-30,0.898495,,10,-30,0
340,-30,-0.18571,,250,-30,0.613418,,20,-30,0
350,-30,-0.20729,,260,-30,0.252625,,30,-30,0
360,-30,-0.12304,,270,-30,-0.11937,,40,-30,0
370,-30,-0.02493,,280,-30,-0.33077,,50,-30,0
380,-30,-0.02203,,290,-30,-0.48398,,60,-30,0
390,-30,-0.24066,,300,-30,-0.35834,,70,-30,0
130,-40,-0.33683,,310,-30,-0.24665,,80,-30,0
140,-40,0.16203,,320,-30,-0.1186,,90,-30,0
150,-40,0.201344,,330,-30,-0.15232,,100,-30,-0.11507
160,-40,0.243437,,340,-30,-0.18571,,110,-30,-0.18265
170,-40,-0.17977,,350,-30,-0.20729,,120,-30,-0.34657
180,-40,0.001158,,360,-30,-0.12304,,130,-30,-0.35797
190,-40,0.300146,,370,-30,-0.02493,,140,-30,-0.36833
200,-40,0.603799,,380,-30,-0.02203,,150,-30,0.186982
210,-40,0.929304,,390,-30,-0.24066,,160,-30,0.266083
220,-40,0.604737,,40,,,,170,-30,0.400029
230,-40,0.508869,,,,,,180,-30,0.047233
240,-40,0.268598,,,,,,190,-30,0.204212
250,-40,0.500529,,,,,,200,-30,0.483796
260,-40,0.401176,,,,,,210,-30,0.25193
270,-40,0.170965,,,,,,220,-30,0.442276
280,-40,-0.07624,,,,,,230,-30,0.51188
290,-40,-0.35799,,,,,,240,-30,0.898495
300,-40,-0.62487,,,,,,250,-30,0.613418
310,-40,-0.57062,,,,,,260,-30,0.252625
320,-40,-0.38017,,,,,,270,-30,-0.11937
330,-40,-0.02395,,,,,,280,-30,-0.33077
340,-40,0.090165,,,,,,290,-30,-0.48398
350,-40,0.09643,,,,,,300,-30,-0.35834
360,-40,0.002316,,,,,,310,-30,-0.24665
